payment_id,member_id,amount,payment_date,payment_type
248,317,7.74,2024-09-03,Fine
249,354,36.15,2023-04-14,Membership Fee
250,62,86.24,2025-03-03,Donation
251,429,48.73,2024-10-14,Membership Fee
252,131,143.64,2024-01-23,Fine
253,271,43.89,2024-09-22,Donation
254,375,99.2,2023-08-04,Donation
255,499,145.8,2022-09-15,Membership Fee
256,307,49.3,2024-05-29,Fine
257,219,80.42,2025-06-15,Fine
258,259,182.16,2022-07-24,Donation
259,406,191.02,2022-11-27,Donation
260,173,45.13,2023-11-08,Fine
261,402,45.68,2023-11-12,Donation
262,245,124.21,2022-12-30,Fine
263,378,151.5,2024-02-04,Donation
264,234,31.64,2023-11-23,Fine
265,243,94.64,2024-11-30,Membership Fee
266,334,143.76,2025-04-04,Fine
267,167,15.21,2023-07-13,Fine
268,409,14.63,2025-01-19,Fine
269,189,82.29,2025-04-02,Donation
270,282,181.33,2024-10-31,Donation
271,164,180.23,2023-05-12,Fine
272,324,172.68,2025-01-07,Donation
273,114,51.42,2025-02-08,Membership Fee
274,429,171.26,2023-01-22,Membership Fee
275,398,184.23,2024-12-31,Donation
276,147,196.3,2023-09-19,Membership Fee
277,316,191.4,2024-09-01,Donation
278,224,83.62,2025-06-24,Fine
279,262,142.31,2022-08-13,Donation
280,187,63.11,2025-06-18,Fine
281,25,19.41,2024-12-06,Donation
282,494,194,2024-06-19,Fine
283,11,66.6,2025-03-20,Donation
284,424,81.01,2022-08-13,Donation
285,180,156.85,2023-11-25,Donation
286,213,85.86,2023-08-26,Donation
287,101,38.97,2022-08-19,Fine
288,161,60.02,2023-12-10,Donation
289,58,157.76,2025-03-22,Membership Fee
290,449,122.53,2022-11-03,Membership Fee
291,335,179.01,2025-06-22,Donation
292,320,73.26,2022-07-30,Fine
293,363,198.49,2024-05-23,Donation
294,143,99.78,2025-03-14,Fine
295,158,119.68,2023-10-15,Fine
296,324,184.2,2023-09-02,Donation
297,132,18.52,2024-01-14,Membership Fee
298,228,107.97,2023-12-29,Fine
299,265,80.03,2023-11-02,Membership Fee
300,69,10.43,2024-01-08,Membership Fee
301,115,54.03,2024-08-16,Donation
302,138,104.25,2023-11-27,Donation
303,472,58.02,2023-08-28,Fine
304,412,84.92,2022-12-16,Fine
305,312,27.86,2023-09-01,Membership Fee
306,52,27.22,2023-06-04,Donation
307,194,30.93,2023-06-30,Fine
308,126,161.86,2022-08-02,Membership Fee
309,184,63.41,2025-01-06,Fine
310,49,162.51,2025-04-03,Donation
311,88,43.78,2023-07-25,Membership Fee
312,10,36.3,2023-02-14,Fine
313,95,102.84,2022-10-23,Donation
314,391,36.7,2024-01-06,Donation
315,43,133.35,2024-02-11,Membership Fee
316,399,171.55,2022-09-08,Fine
317,97,90.06,2023-03-05,Donation
318,239,54.51,2023-05-28,Fine
319,406,50.85,2025-05-03,Donation
320,295,169.22,2024-05-03,Membership Fee
321,345,46.57,2023-12-05,Donation
322,43,175.44,2023-04-07,Membership Fee
323,465,96.67,2024-05-15,Donation
324,217,159.31,2024-08-19,Membership Fee
325,425,192.61,2022-09-14,Donation
326,218,11.39,2024-02-19,Membership Fee
327,81,11.94,2025-03-29,Membership Fee
328,302,60.16,2022-12-27,Fine
329,118,177.14,2025-05-17,Membership Fee
330,365,147.16,2023-08-31,Membership Fee
331,5,171.99,2024-06-02,Membership Fee
332,110,148.16,2024-01-09,Fine
333,192,196.03,2024-07-21,Donation
334,287,58.1,2022-10-18,Donation
335,437,43.75,2024-02-14,Fine
336,439,183,2023-01-20,Fine
337,223,109.48,2024-09-29,Fine
338,265,43.78,2024-01-10,Membership Fee
339,354,197.37,2022-12-16,Donation
340,113,132.39,2025-06-20,Fine
341,442,64.62,2025-04-18,Fine
342,480,32.67,2023-03-29,Donation
343,399,118.44,2024-01-10,Membership Fee
344,156,103.73,2023-10-01,Donation
345,489,173.91,2023-04-26,Membership Fee
346,84,185.9,2025-01-20,Fine
347,317,60.18,2024-12-07,Membership Fee
348,498,45.32,2023-01-22,Membership Fee
349,230,165.02,2024-06-03,Donation
350,234,66.02,2022-12-27,Donation
351,350,30.31,2023-09-19,Donation
352,57,97.48,2023-09-09,Membership Fee
353,406,49.98,2023-08-06,Fine
354,312,196.29,2025-03-28,Donation
355,206,181.02,2023-08-03,Fine
356,405,23.6,2024-12-11,Membership Fee
357,135,136.11,2024-08-10,Donation
358,464,47.59,2024-10-23,Membership Fee
359,139,110.65,2024-01-28,Membership Fee
360,201,165.59,2023-07-11,Donation
361,349,37.89,2025-02-19,Membership Fee
362,197,115.88,2025-04-06,Fine
363,419,29.99,2024-01-08,Fine
364,377,69.17,2023-10-09,Donation
365,401,35.32,2023-10-19,Membership Fee
366,26,151.55,2023-07-06,Membership Fee
367,230,171.12,2025-01-21,Donation
368,443,141.46,2022-10-14,Donation
369,378,88.26,2024-07-09,Membership Fee
370,199,93.19,2023-09-29,Membership Fee
371,210,68.73,2023-04-19,Donation
372,57,41.93,2024-05-08,Fine
373,258,16.12,2025-04-23,Membership Fee
374,182,35.23,2024-03-14,Donation
375,76,52.16,2023-10-03,Donation
376,288,123.09,2023-11-25,Fine
377,283,82.3,2023-09-12,Donation
378,473,178.87,2023-05-04,Fine
379,436,64.56,2023-03-16,Membership Fee
380,3,83.37,2023-07-12,Fine
381,354,191.58,2023-11-16,Membership Fee
382,48,162.51,2022-12-04,Membership Fee
383,448,96.22,2022-09-27,Donation
384,242,149.57,2025-07-17,Fine
385,381,66.86,2023-07-08,Membership Fee
386,260,138.45,2024-08-28,Donation
387,347,65.01,2025-01-10,Donation
388,360,16.51,2023-08-18,Donation
389,106,79.25,2023-05-22,Membership Fee
390,93,12.81,2023-03-10,Donation
391,480,80.24,2023-02-22,Membership Fee
392,438,127.52,2024-01-26,Donation
393,195,124.97,2023-04-08,Membership Fee
394,413,168.02,2023-03-23,Membership Fee
395,262,104.83,2025-02-01,Donation
396,93,23.95,2023-11-18,Donation
397,332,168.09,2022-11-15,Donation
398,378,174.25,2023-03-08,Fine
399,316,86.28,2022-08-03,Membership Fee
400,464,81.83,2024-10-01,Fine
401,329,79.64,2025-05-09,Donation
402,402,18.53,2024-06-25,Membership Fee
403,409,166.57,2025-07-20,Membership Fee
404,126,91.31,2025-04-17,Membership Fee
405,401,134.02,2023-06-20,Donation
406,252,84.93,2024-03-24,Fine
407,227,43.78,2022-10-14,Fine
408,39,58.38,2024-10-02,Membership Fee
409,488,5.48,2024-10-19,Fine
410,200,52.93,2023-11-17,Fine
411,73,46.12,2024-11-22,Fine
412,153,118.94,2024-04-17,Donation
413,216,101.24,2023-11-12,Donation
414,51,155.19,2023-08-27,Donation
415,369,115.04,2023-04-21,Membership Fee
416,251,122.19,2024-06-30,Donation
417,7,198.36,2024-06-21,Membership Fee
418,499,128.63,2023-07-08,Fine
419,262,133.02,2024-10-28,Donation
420,350,160.18,2024-01-18,Membership Fee
421,59,55.17,2024-05-05,Fine
422,43,19.69,2024-08-12,Membership Fee
423,235,138.16,2023-03-14,Membership Fee
424,150,25.28,2023-03-23,Donation
425,76,118.73,2023-03-26,Fine
426,61,189.44,2025-06-25,Fine
427,260,134.06,2023-11-09,Fine
428,321,165.22,2022-11-24,Donation
429,402,60.46,2024-11-27,Fine
430,249,17.54,2023-09-25,Donation
431,177,23.86,2023-01-07,Donation
432,79,184.49,2022-12-23,Donation
433,165,97.34,2025-03-22,Fine
434,258,111.11,2023-12-04,Donation
435,309,167.79,2024-09-02,Membership Fee
436,270,162.32,2023-10-09,Donation
437,175,122.65,2024-04-10,Fine
438,427,185.32,2024-10-16,Fine
439,311,148.82,2023-07-30,Fine
440,157,88.15,2024-06-25,Membership Fee
441,119,127.49,2024-01-11,Membership Fee
442,92,146.23,2025-02-02,Fine
443,370,173.45,2022-08-20,Fine
444,365,113.33,2025-06-14,Membership Fee
445,40,92.65,2022-09-02,Donation
446,268,100.67,2023-02-19,Membership Fee
447,72,173.91,2025-04-17,Fine
448,264,115.99,2024-07-10,Donation
449,195,31.58,2023-03-01,Donation
450,186,107.77,2024-07-22,Donation
451,131,36.26,2024-03-19,Fine
452,83,168.58,2023-01-21,Membership Fee
453,103,173.35,2024-06-13,Donation
454,470,71.31,2025-07-09,Fine
455,95,27.85,2023-08-04,Membership Fee
456,24,54.67,2022-11-20,Fine
457,288,43.62,2023-08-13,Donation
458,247,99.01,2023-08-24,Membership Fee
459,414,122.7,2024-11-12,Membership Fee
460,377,49.56,2022-11-04,Donation
461,175,34.56,2025-07-18,Donation
462,228,90.82,2022-09-15,Fine
463,281,83.65,2022-08-10,Donation
464,469,39.3,2024-12-13,Donation
465,369,13.84,2025-03-16,Fine
466,178,72.7,2025-04-18,Fine
467,119,6.35,2025-07-18,Membership Fee
468,5,155.33,2025-01-20,Fine
469,381,15.87,2023-08-13,Membership Fee
470,190,177.94,2024-06-26,Membership Fee
471,177,9.89,2022-10-10,Fine
472,7,133.13,2022-11-20,Membership Fee
473,225,66.73,2025-07-11,Fine
474,192,27.65,2023-11-05,Fine
475,460,146.67,2024-02-12,Donation
476,244,186.46,2024-09-02,Fine
477,84,55.75,2023-05-30,Donation
478,388,47.97,2025-01-03,Membership Fee
479,482,177.02,2025-04-17,Membership Fee
480,401,62.18,2024-07-12,Fine
481,413,86.25,2024-05-06,Donation
482,349,198.31,2023-06-07,Fine
483,37,111.63,2025-04-01,Fine
484,250,68.15,2024-08-26,Membership Fee
485,361,54.93,2023-02-03,Fine
486,496,81.16,2025-05-05,Membership Fee
487,35,172.74,2024-05-27,Donation
488,167,143.26,2022-11-18,Membership Fee
489,131,108.14,2023-06-02,Fine
490,115,159.47,2023-02-01,Membership Fee
491,411,168.34,2025-01-12,Fine
492,63,114.01,2024-09-24,Fine
493,102,5.18,2023-04-12,Membership Fee
494,461,70.22,2022-10-07,Fine
495,419,128.56,2023-06-07,Donation
496,72,88.67,2024-04-21,Donation
497,237,91.64,2022-10-17,Donation
498,231,73.03,2024-09-15,Donation
499,205,108.16,2023-05-29,Membership Fee
500,465,101.06,2025-05-17,Fine
501,491,66.78,2022-12-26,Membership Fee
502,116,192.94,2022-09-14,Fine
503,365,113.45,2022-11-29,Membership Fee
504,439,187.39,2024-06-24,Donation
505,245,195.65,2025-02-14,Fine
506,338,118.32,2024-05-21,Donation
507,469,118.44,2024-06-07,Fine
508,83,181.51,2024-09-17,Donation
509,270,92.27,2025-01-18,Donation
510,356,147.56,2024-08-02,Membership Fee
511,40,42.99,2022-12-20,Donation
512,454,113.4,2022-10-01,Fine
513,301,68.51,2024-11-28,Donation
514,220,95.52,2025-01-24,Fine
515,70,9.02,2022-08-02,Membership Fee
516,4,77.49,2022-10-22,Fine
517,416,55.92,2022-08-18,Membership Fee
518,161,134.44,2022-09-18,Membership Fee
519,138,122.1,2023-04-08,Donation
520,281,198.98,2025-06-03,Fine
521,216,53.19,2025-01-08,Fine
522,487,163.32,2024-03-31,Donation
523,125,179.69,2025-03-07,Membership Fee
524,375,142.72,2024-10-27,Donation
525,267,142.63,2025-02-01,Fine
526,204,16.45,2022-12-31,Donation
527,185,104.59,2024-12-13,Donation
528,74,34.36,2023-01-17,Membership Fee
529,217,51.69,2023-02-20,Donation
530,325,40.35,2024-03-11,Fine
531,179,136.2,2025-07-02,Membership Fee
532,329,181.26,2024-05-13,Membership Fee
533,53,58.93,2022-12-15,Membership Fee
534,252,72.68,2024-11-07,Fine
535,476,42.25,2023-09-10,Donation
536,44,130.68,2022-12-13,Donation
537,99,25.99,2025-01-28,Fine
538,38,136.14,2023-02-28,Donation
539,168,167.21,2023-03-13,Fine
540,99,59.58,2025-03-04,Fine
541,150,54.9,2022-12-06,Fine
542,111,178.02,2024-11-30,Membership Fee
543,10,127.8,2024-02-12,Fine
544,347,26.85,2024-07-19,Membership Fee
545,236,122.25,2024-06-07,Membership Fee
546,417,174.8,2024-06-08,Fine
547,250,24.75,2023-08-12,Fine
548,414,33.61,2025-03-20,Fine
549,81,43.71,2024-07-27,Donation
550,79,187.35,2024-04-09,Fine
551,368,189.27,2023-08-17,Fine
552,84,176.86,2024-12-18,Membership Fee
553,329,51.81,2023-12-19,Fine
554,165,42.96,2024-09-16,Donation
555,478,27.5,2023-05-12,Membership Fee
556,425,40.47,2024-12-10,Fine
557,464,162.11,2024-12-25,Fine
558,214,198.99,2023-10-04,Fine
559,302,5.3,2025-02-26,Fine
560,495,75.54,2025-05-28,Membership Fee
561,367,16.22,2024-05-02,Donation
562,280,67.75,2023-05-30,Donation
563,26,100.15,2025-02-05,Membership Fee
564,64,11.21,2022-12-24,Fine
565,111,148.51,2025-01-03,Fine
566,141,59.44,2023-06-18,Fine
567,314,32.17,2024-08-24,Fine
568,373,174.07,2023-11-25,Membership Fee
569,102,196.6,2023-05-13,Fine
570,293,157.87,2025-03-21,Fine
571,234,88.32,2023-05-17,Fine
572,324,136.08,2022-08-10,Fine
573,307,119.48,2024-02-22,Fine
574,257,10.79,2024-09-15,Membership Fee
575,323,167.69,2023-05-25,Donation
576,474,176.18,2022-12-22,Membership Fee
577,374,29.5,2024-08-21,Donation
578,243,22.09,2024-08-06,Membership Fee
579,251,7.41,2023-10-29,Fine
580,253,176.65,2024-02-13,Donation
581,373,110.81,2024-07-30,Fine
582,409,165.96,2022-11-14,Donation
583,271,121,2024-09-18,Membership Fee
584,203,34.57,2023-05-10,Membership Fee
585,334,35.58,2024-08-10,Fine
586,317,155.93,2022-09-28,Donation
587,258,42.35,2025-03-26,Membership Fee
588,192,160.53,2024-08-22,Membership Fee
589,41,138.96,2024-03-01,Fine
590,95,197.86,2023-10-26,Membership Fee
591,332,152.2,2022-09-29,Donation
592,481,73.68,2025-05-27,Fine
593,19,38.67,2023-04-15,Donation
594,171,173.52,2024-10-20,Fine
595,71,195.77,2022-11-17,Donation
596,42,13.99,2023-10-01,Membership Fee
597,10,101.44,2024-07-07,Membership Fee
598,297,152.33,2022-10-27,Membership Fee
599,499,18.8,2024-10-03,Donation
600,78,39.72,2023-05-25,Fine
601,133,183.96,2024-01-13,Membership Fee
602,156,154.71,2024-01-06,Fine
603,427,85,2023-06-21,Fine
604,467,142.36,2024-09-30,Membership Fee
605,266,171.04,2024-01-24,Membership Fee
606,175,106.17,2024-04-13,Donation
607,40,66.51,2022-11-17,Donation
608,350,125.33,2022-11-23,Donation
609,238,133.53,2022-09-08,Membership Fee
610,8,33.31,2024-03-29,Membership Fee
611,148,177.51,2022-11-30,Membership Fee
612,364,8.49,2024-02-19,Fine
613,154,107.75,2024-05-02,Membership Fee
614,74,6.25,2022-10-09,Membership Fee
615,358,152.73,2022-11-11,Membership Fee
616,51,88.6,2023-10-26,Fine
617,169,48.64,2023-11-28,Donation
618,377,42.77,2023-12-18,Donation
619,115,198.53,2023-11-19,Fine
620,449,102.85,2025-03-16,Fine
621,486,24.67,2023-08-30,Fine
622,358,97.63,2024-06-22,Donation
623,129,79.17,2024-11-19,Donation
624,147,46.37,2025-02-16,Membership Fee
625,474,105.44,2024-12-19,Membership Fee
626,320,14.98,2024-10-30,Fine
627,433,147.71,2024-03-07,Membership Fee
628,48,92.21,2024-05-09,Donation
629,282,109.8,2024-07-01,Donation
630,180,6.07,2024-09-04,Donation
631,493,54.07,2025-06-24,Fine
632,108,136.32,2023-03-21,Membership Fee
633,17,154.9,2024-06-18,Donation
634,334,172.96,2023-11-28,Fine
635,230,51,2023-04-18,Donation
636,317,199.58,2023-07-18,Donation
637,149,116.05,2022-10-15,Membership Fee
638,379,68.2,2023-09-06,Donation
639,34,100.54,2023-09-23,Donation
640,406,138.5,2024-03-27,Fine
641,173,62.88,2023-11-20,Donation
642,422,111.47,2024-05-18,Donation
643,480,140.58,2025-02-16,Membership Fee
644,486,119.42,2023-01-19,Membership Fee
645,210,136.76,2024-05-27,Fine
646,329,156.14,2022-12-30,Membership Fee
647,242,62.17,2024-11-24,Fine
648,100,140.85,2023-12-01,Fine
649,368,22.81,2023-05-29,Fine
650,10,111.43,2024-06-13,Fine
651,30,186.34,2023-11-16,Fine
652,272,78.21,2023-03-28,Fine
653,194,90.47,2025-03-13,Fine
654,373,91.48,2025-06-21,Membership Fee
655,301,65.24,2024-01-06,Donation
656,485,167.05,2024-07-23,Donation
657,34,176.35,2024-01-12,Donation
658,266,122.6,2025-06-27,Membership Fee
659,256,82.86,2022-10-11,Donation
660,331,40.39,2023-01-03,Donation
661,392,149.23,2023-10-29,Fine
662,14,124.52,2022-10-14,Donation
663,288,87.05,2023-04-20,Fine
664,208,118.11,2023-09-03,Donation
665,242,50.4,2024-09-07,Donation
666,231,18.01,2025-05-12,Donation
667,332,37.03,2024-01-17,Fine
668,399,19.62,2022-11-12,Membership Fee
669,476,33.25,2022-09-27,Donation
670,495,34.34,2024-05-14,Membership Fee
671,304,183.16,2024-05-17,Fine
672,162,68.42,2024-07-21,Membership Fee
673,395,96.15,2022-11-17,Fine
674,449,58.88,2023-07-26,Fine
675,312,57.33,2022-10-31,Membership Fee
676,290,45.99,2024-01-18,Membership Fee
677,331,197.8,2024-05-02,Fine
678,472,130.85,2024-07-28,Membership Fee
679,458,98.09,2024-04-13,Membership Fee
680,425,152.31,2025-03-04,Fine
681,127,69.51,2023-02-14,Donation
682,188,159.72,2023-07-15,Fine
683,479,146,2023-12-17,Membership Fee
684,435,154.01,2023-12-03,Membership Fee
685,467,94.82,2023-05-19,Membership Fee
686,87,193.11,2024-06-25,Membership Fee
687,111,98.2,2025-03-08,Fine
688,96,142.66,2024-02-10,Fine
689,273,124.66,2024-12-05,Fine
690,364,32.57,2022-10-27,Donation
691,237,133.92,2022-11-11,Fine
692,200,162.03,2024-03-24,Donation
693,384,50.77,2024-11-14,Membership Fee
694,318,35.51,2023-08-03,Donation
695,287,76.07,2022-09-25,Donation
696,494,163.17,2025-02-25,Membership Fee
697,115,180.92,2024-08-24,Fine
698,184,108.44,2023-02-09,Fine
699,392,39.76,2024-07-20,Membership Fee
700,226,28.53,2024-12-17,Fine
701,499,124.57,2023-08-09,Donation
