loan_id,book_id,member_id,loan_date,due_date,return_date,fine
189,632,458,2025-05-23,2025-06-06,2025-06-07,3.34
190,356,279,2024-05-11,2024-05-25,2024-05-27,2.24
191,741,472,2023-08-22,2023-09-05,2023-09-19,8.48
192,950,281,2023-03-01,2023-03-15,2023-03-21,18.52
193,112,26,2023-03-03,2023-03-17,2023-03-21,19.74
194,412,176,2024-04-27,2024-05-11,,0
195,974,418,2022-08-10,2022-08-24,,0
196,117,67,2022-10-25,2022-11-08,2022-11-16,8.04
197,140,146,2023-01-13,2023-01-27,2023-02-06,13.61
198,228,371,2023-12-31,2024-01-14,,0
199,399,27,2023-03-12,2023-03-26,2023-03-26,0
200,532,142,2024-04-20,2024-05-04,2024-05-16,8.33
201,180,58,2022-12-29,2023-01-12,2023-01-09,0
202,616,359,2025-07-11,2025-07-25,2025-07-22,0
203,446,432,2024-08-15,2024-08-29,,0
204,277,346,2024-12-28,2025-01-11,2025-01-10,0
205,827,321,2025-01-11,2025-01-25,2025-02-07,13.65
206,17,415,2024-11-08,2024-11-22,2024-12-04,8.81
207,911,18,2023-09-27,2023-10-11,2023-10-19,8.69
208,739,203,2022-10-03,2022-10-17,,0
209,809,34,2025-03-23,2025-04-06,2025-04-15,6.07
210,39,151,2024-01-10,2024-01-24,2024-02-02,10.97
211,783,204,2023-11-20,2023-12-04,2023-12-08,15.52
212,21,162,2023-06-30,2023-07-14,2023-07-18,7.85
213,581,121,2025-02-16,2025-03-02,2025-03-14,17.48
214,982,387,2023-08-26,2023-09-09,2023-09-12,7.22
215,377,455,2022-09-15,2022-09-29,2022-10-11,5.35
216,601,336,2022-07-27,2022-08-10,2022-08-20,15.92
217,65,382,2024-10-12,2024-10-26,2024-10-27,11.79
218,139,389,2024-05-22,2024-06-05,2024-06-14,5.81
219,59,11,2023-05-21,2023-06-04,,0
220,185,85,2024-04-27,2024-05-11,,0
221,632,493,2025-07-13,2025-07-27,2025-08-04,15.04
222,618,168,2024-10-07,2024-10-21,2024-10-25,16.58
223,332,201,2024-08-02,2024-08-16,,0
224,530,331,2022-10-13,2022-10-27,2022-11-08,5.65
225,693,20,2023-09-02,2023-09-16,2023-09-20,11.37
226,542,423,2023-04-22,2023-05-06,2023-05-10,17.88
227,79,102,2024-06-19,2024-07-03,2024-07-15,3.98
228,90,151,2022-10-16,2022-10-30,2022-11-12,1
229,834,281,2023-02-28,2023-03-14,2023-03-26,12.85
230,233,212,2022-10-17,2022-10-31,2022-11-14,7.96
231,534,464,2023-11-15,2023-11-29,2023-11-29,0
232,386,31,2025-06-27,2025-07-11,2025-07-13,10.35
233,384,36,2022-08-03,2022-08-17,2022-08-23,9.46
234,799,66,2024-07-07,2024-07-21,2024-08-05,16.48
235,394,221,2023-10-25,2023-11-08,,0
236,918,383,2024-05-24,2024-06-07,2024-06-09,8.92
237,214,424,2023-07-06,2023-07-20,,0
238,856,51,2025-07-08,2025-07-22,2025-07-31,2.96
239,280,95,2025-07-05,2025-07-19,,0
240,858,213,2023-12-10,2023-12-24,2024-01-02,8.48
241,575,311,2022-11-15,2022-11-29,2022-11-30,9.95
242,875,192,2024-02-20,2024-03-05,2024-03-11,11.71
243,33,370,2023-09-05,2023-09-19,2023-09-28,3.31
244,577,469,2023-01-12,2023-01-26,2023-02-01,18.43
245,208,188,2023-05-09,2023-05-23,2023-05-26,19.32
246,719,51,2024-06-23,2024-07-07,,0
247,577,282,2024-08-01,2024-08-15,2024-08-16,13.4
248,260,58,2022-09-04,2022-09-18,2022-09-28,14.36
249,972,246,2023-05-11,2023-05-25,2023-05-23,0
250,785,116,2025-05-02,2025-05-16,2025-05-31,2.41
251,58,42,2024-08-20,2024-09-03,,0
252,924,243,2023-02-17,2023-03-03,2023-03-10,13
253,636,355,2022-08-12,2022-08-26,2022-09-11,9.92
254,268,289,2024-05-24,2024-06-07,2024-06-10,14.65
255,791,484,2023-09-10,2023-09-24,2023-10-07,18.38
256,615,456,2025-04-05,2025-04-19,,0
257,781,314,2023-12-29,2024-01-12,2024-01-26,14.27
258,440,402,2024-04-17,2024-05-01,,0
259,29,438,2023-07-04,2023-07-18,2023-08-01,9.22
260,116,260,2023-03-07,2023-03-21,,0
261,432,257,2025-06-24,2025-07-08,,0
262,118,27,2024-08-23,2024-09-06,2024-09-11,3.94
263,915,310,2024-08-07,2024-08-21,2024-08-23,10.79
264,487,263,2025-07-07,2025-07-21,2025-07-17,0
265,468,301,2023-12-27,2024-01-10,2024-01-21,2.05
266,35,326,2024-05-11,2024-05-25,2024-05-28,8.35
267,442,198,2023-01-24,2023-02-07,2023-02-12,5.94
268,457,303,2024-05-11,2024-05-25,2024-05-24,0
269,768,334,2023-11-30,2023-12-14,2023-12-17,9.11
270,736,199,2023-10-01,2023-10-15,2023-10-21,17.52
271,924,28,2024-01-28,2024-02-11,2024-02-17,9.16
272,630,338,2024-09-22,2024-10-06,2024-10-10,13.3
273,185,359,2022-09-21,2022-10-05,2022-10-19,1.05
274,741,481,2023-02-11,2023-02-25,2023-03-11,11.91
275,987,264,2024-06-08,2024-06-22,2024-06-26,13.87
276,768,257,2024-12-24,2025-01-07,2025-01-15,6.3
277,91,484,2023-02-25,2023-03-11,2023-03-22,6.58
278,835,162,2024-07-22,2024-08-05,2024-08-02,0
279,520,57,2022-09-10,2022-09-24,,0
280,8,478,2023-04-07,2023-04-21,,0
281,293,187,2024-06-29,2024-07-13,2024-07-09,0
282,975,196,2023-02-20,2023-03-06,2023-03-14,11.11
283,828,426,2023-06-10,2023-06-24,2023-07-07,4.43
284,489,413,2024-06-09,2024-06-23,,0
285,198,496,2024-05-23,2024-06-06,,0
286,819,236,2023-12-07,2023-12-21,2023-12-18,0
287,964,17,2023-02-09,2023-02-23,2023-03-01,5.51
288,746,143,2023-12-24,2024-01-07,2024-01-12,8.25
289,816,484,2022-10-20,2022-11-03,,0
290,315,287,2024-02-08,2024-02-22,2024-03-01,8.32
291,591,459,2025-03-20,2025-04-03,2025-04-17,1.05
292,229,365,2024-12-30,2025-01-13,,0
293,780,340,2025-03-26,2025-04-09,2025-04-10,6.63
294,628,112,2025-05-27,2025-06-10,2025-06-23,4.58
295,82,450,2025-06-25,2025-07-09,2025-07-25,19.79
296,198,96,2024-10-26,2024-11-09,2024-11-10,2.49
297,859,429,2023-02-25,2023-03-11,2023-03-20,9.81
298,407,424,2022-12-12,2022-12-26,2023-01-06,18.79
299,372,401,2022-09-29,2022-10-13,2022-10-27,7.1
300,266,227,2023-02-07,2023-02-21,2023-03-07,6
301,505,169,2025-03-24,2025-04-07,2025-04-15,6.23
302,15,422,2023-02-18,2023-03-04,2023-03-04,0
303,88,443,2025-03-10,2025-03-24,2025-03-30,17.89
304,996,346,2024-12-03,2024-12-17,2024-12-13,0
305,765,452,2022-12-18,2023-01-01,2023-01-17,2.42
306,112,455,2025-03-06,2025-03-20,2025-03-25,14.07
307,73,125,2022-11-24,2022-12-08,,0
308,61,204,2024-06-10,2024-06-24,,0
309,963,350,2022-08-22,2022-09-05,2022-09-21,18.24
310,292,9,2024-09-25,2024-10-09,2024-10-09,0
311,433,218,2025-02-12,2025-02-26,,0
312,666,39,2025-02-06,2025-02-20,2025-03-03,14.33
313,943,162,2024-06-22,2024-07-06,2024-07-14,12.54
314,466,20,2023-05-20,2023-06-03,2023-06-06,9.05
315,587,287,2022-10-24,2022-11-07,2022-11-20,7.38
316,190,316,2025-04-11,2025-04-25,2025-04-28,10.38
317,286,178,2023-03-10,2023-03-24,2023-04-09,3.69
318,619,47,2024-05-12,2024-05-26,,0
319,532,57,2024-11-20,2024-12-04,,0
320,966,236,2023-12-02,2023-12-16,2023-12-16,0
321,422,342,2024-03-21,2024-04-04,2024-04-12,5.21
322,663,153,2023-05-25,2023-06-08,2023-06-23,8.52
323,710,384,2025-04-05,2025-04-19,2025-04-30,10.42
324,814,101,2025-04-18,2025-05-02,2025-04-30,0
325,329,287,2023-03-24,2023-04-07,,0
326,198,47,2025-02-11,2025-02-25,2025-03-13,18.92
327,430,437,2022-08-06,2022-08-20,2022-09-05,2.49
328,672,92,2025-03-23,2025-04-06,2025-04-09,2.59
329,709,265,2022-11-15,2022-11-29,2022-11-30,16.07
330,39,162,2024-11-27,2024-12-11,2024-12-25,8.91
331,778,256,2024-09-12,2024-09-26,2024-10-03,19.95
332,638,94,2024-05-18,2024-06-01,2024-06-10,5.34
333,922,284,2025-04-28,2025-05-12,2025-05-26,3.87
334,359,56,2025-06-12,2025-06-26,2025-06-30,15.6
335,901,42,2024-08-04,2024-08-18,2024-08-26,7.66
336,763,243,2023-08-19,2023-09-02,2023-09-07,3.68
337,773,451,2024-09-30,2024-10-14,2024-10-28,15.29
338,159,95,2022-10-29,2022-11-12,2022-11-19,15.56
339,513,17,2022-11-29,2022-12-13,2022-12-28,10.75
340,166,120,2023-05-18,2023-06-01,,0
341,791,195,2024-03-07,2024-03-21,2024-03-24,8.39
342,781,461,2024-11-11,2024-11-25,2024-12-01,14.64
343,734,426,2024-11-28,2024-12-12,2024-12-27,16.79
344,77,169,2024-08-31,2024-09-14,2024-09-11,0
345,842,316,2024-03-21,2024-04-04,,0
346,682,311,2023-08-02,2023-08-16,2023-08-25,1.73
347,455,439,2025-03-14,2025-03-28,2025-04-01,7.31
348,301,354,2025-06-05,2025-06-19,,0
349,960,396,2023-05-26,2023-06-09,2023-06-16,8.66
350,556,99,2022-09-20,2022-10-04,,0
351,2,2,2025-04-15,2025-04-29,2025-05-04,19.73
352,664,83,2023-05-04,2023-05-18,2023-05-27,16.44
353,175,255,2024-07-24,2024-08-07,2024-08-16,6.81
354,42,206,2022-07-28,2022-08-11,2022-08-25,6.36
355,832,200,2023-03-09,2023-03-23,2023-03-22,0
356,227,427,2024-04-13,2024-04-27,2024-04-30,16.11
357,471,332,2023-09-18,2023-10-02,2023-10-13,14.1
358,922,314,2023-05-15,2023-05-29,2023-05-28,0
359,159,364,2023-04-29,2023-05-13,2023-05-28,1.44
360,164,28,2023-07-22,2023-08-05,,0
361,875,95,2023-11-02,2023-11-16,2023-11-26,10.72
362,526,486,2022-08-25,2022-09-08,2022-09-04,0
363,597,272,2025-02-13,2025-02-27,2025-02-28,6.08
364,189,121,2023-10-02,2023-10-16,,0
365,49,261,2023-01-26,2023-02-09,,0
366,633,63,2024-10-25,2024-11-08,2024-11-16,3.66
367,372,266,2024-10-23,2024-11-06,2024-11-20,5.99
368,79,167,2023-09-21,2023-10-05,2023-10-02,0
369,825,353,2025-03-03,2025-03-17,2025-03-14,0
370,812,371,2023-04-27,2023-05-11,2023-05-14,16.28
371,937,453,2022-08-30,2022-09-13,2022-09-16,12.59
372,686,477,2023-03-12,2023-03-26,,0
373,127,244,2024-11-07,2024-11-21,2024-11-29,16.94
374,648,416,2023-03-30,2023-04-13,2023-04-12,0
375,115,75,2022-08-10,2022-08-24,2022-09-01,10.86
376,468,154,2024-02-05,2024-02-19,2024-03-01,14.94
377,670,107,2024-09-26,2024-10-10,2024-10-17,18.18
378,873,43,2024-07-25,2024-08-08,,0
379,47,377,2025-04-16,2025-04-30,2025-05-05,5.06
380,81,174,2022-09-08,2022-09-22,,0
381,632,438,2024-09-14,2024-09-28,2024-10-01,1.61
382,47,169,2022-10-30,2022-11-13,2022-11-12,0
383,534,202,2023-04-25,2023-05-09,2023-05-09,0
384,27,185,2025-01-31,2025-02-14,2025-02-11,0
385,179,27,2022-12-13,2022-12-27,,0
386,514,70,2025-05-21,2025-06-04,2025-06-11,9.46
387,987,117,2022-12-04,2022-12-18,2022-12-23,12.49
388,695,298,2023-01-12,2023-01-26,2023-01-27,16.56
389,995,120,2023-09-01,2023-09-15,2023-09-20,10.66
390,67,35,2023-09-09,2023-09-23,2023-10-09,3.86
391,311,391,2023-02-11,2023-02-25,,0
392,883,306,2025-07-15,2025-07-29,,0
393,148,87,2025-07-13,2025-07-27,2025-08-01,12.14
394,327,342,2025-06-28,2025-07-12,2025-07-13,11.06
395,636,2,2025-01-09,2025-01-23,2025-02-03,10.04
396,797,415,2024-07-21,2024-08-04,2024-07-31,0
397,51,399,2024-05-06,2024-05-20,2024-05-16,0
398,203,96,2024-12-16,2024-12-30,2025-01-09,14.79
399,125,268,2024-10-03,2024-10-17,,0
400,907,290,2022-10-30,2022-11-13,2022-11-24,9.84
401,9,232,2023-05-24,2023-06-07,2023-06-23,6.38
402,642,122,2023-12-15,2023-12-29,,0
403,753,98,2025-04-13,2025-04-27,2025-05-04,5.32
404,59,215,2024-09-09,2024-09-23,2024-10-06,1.29
405,929,189,2023-04-08,2023-04-22,2023-04-29,19.16
406,744,321,2023-08-02,2023-08-16,,0
407,58,268,2024-05-14,2024-05-28,2024-06-02,9.33
408,350,217,2025-04-26,2025-05-10,2025-05-06,0
409,655,69,2024-08-17,2024-08-31,2024-09-06,19.61
410,710,128,2024-11-19,2024-12-03,2024-12-06,17.59
411,672,309,2024-07-27,2024-08-10,2024-08-20,12.47
412,414,291,2024-04-07,2024-04-21,2024-05-05,11.9
413,86,303,2025-04-06,2025-04-20,2025-04-16,0
414,197,381,2025-01-28,2025-02-11,2025-02-27,13.58
415,474,269,2022-09-04,2022-09-18,2022-09-15,0
416,848,252,2023-11-01,2023-11-15,,0
417,685,2,2023-12-15,2023-12-29,2023-12-29,0
418,633,355,2023-12-09,2023-12-23,2023-12-22,0
419,228,468,2023-06-28,2023-07-12,2023-07-26,16
420,695,18,2024-03-02,2024-03-16,2024-03-20,14.18
421,703,119,2022-12-31,2023-01-14,,0
422,316,220,2022-09-12,2022-09-26,,0
423,449,167,2023-04-03,2023-04-17,2023-04-29,12.33
424,204,207,2022-08-02,2022-08-16,,0
425,957,332,2024-09-24,2024-10-08,2024-10-05,0
426,892,399,2024-08-02,2024-08-16,2024-08-24,5.93
427,522,463,2024-03-19,2024-04-02,2024-04-09,12
428,376,226,2023-07-15,2023-07-29,2023-07-26,0
429,20,496,2023-03-25,2023-04-08,2023-04-22,10.28
430,916,325,2024-04-14,2024-04-28,2024-05-14,13.65
431,245,221,2025-05-27,2025-06-10,2025-06-06,0
432,570,132,2023-03-29,2023-04-12,2023-04-13,3.51
433,364,269,2023-10-19,2023-11-02,2023-11-18,10.46
434,838,86,2025-07-06,2025-07-20,2025-08-01,16
435,732,425,2022-12-01,2022-12-15,,0
436,782,419,2024-10-29,2024-11-12,,0
437,12,105,2024-02-05,2024-02-19,2024-02-21,18.58
438,262,3,2023-12-24,2024-01-07,2024-01-20,1.99
439,22,129,2024-02-27,2024-03-12,2024-03-15,12.73
440,259,201,2024-06-25,2024-07-09,,0
441,731,363,2022-08-09,2022-08-23,,0
442,806,336,2024-01-27,2024-02-10,2024-02-13,17.77
443,563,199,2024-02-11,2024-02-25,2024-03-02,12.86
444,60,316,2022-11-01,2022-11-15,,0
445,598,455,2024-04-25,2024-05-09,2024-05-10,18.54
446,920,469,2023-04-05,2023-04-19,2023-04-22,2.05
447,320,206,2025-06-15,2025-06-29,2025-07-02,2.6
448,220,302,2023-09-11,2023-09-25,,0
449,894,487,2025-06-27,2025-07-11,,0
450,622,171,2025-05-24,2025-06-07,2025-06-07,0
451,446,170,2024-07-05,2024-07-19,2024-07-20,9.47
452,651,158,2023-02-22,2023-03-08,2023-03-13,9.2
453,483,79,2024-11-04,2024-11-18,,0
454,885,277,2025-04-13,2025-04-27,2025-04-28,4.69
455,41,235,2025-04-15,2025-04-29,,0
456,978,444,2024-10-26,2024-11-09,2024-11-11,4.34
457,308,68,2024-02-21,2024-03-06,2024-03-22,6.96
458,501,248,2025-05-01,2025-05-15,,0
459,204,12,2024-04-18,2024-05-02,2024-05-15,13.54
460,871,291,2023-12-29,2024-01-12,,0
461,201,296,2024-08-18,2024-09-01,2024-09-05,12.66
462,758,483,2025-01-17,2025-01-31,2025-01-27,0
463,705,117,2025-04-22,2025-05-06,2025-05-16,1.16
464,999,454,2024-01-03,2024-01-17,2024-01-29,13.86
465,355,86,2024-10-06,2024-10-20,2024-10-21,14.29
466,822,422,2024-01-31,2024-02-14,,0
467,945,23,2023-11-21,2023-12-05,2023-12-07,13.68
468,16,469,2024-10-10,2024-10-24,2024-11-04,5.55
469,120,268,2024-12-21,2025-01-04,2025-01-10,10.33
470,466,400,2023-11-15,2023-11-29,,0
471,522,226,2024-10-10,2024-10-24,2024-11-05,13.35
472,245,193,2024-06-10,2024-06-24,2024-06-21,0
473,308,62,2024-08-23,2024-09-06,2024-09-07,13.48
474,564,123,2022-10-06,2022-10-20,2022-10-30,9.19
475,799,428,2023-05-15,2023-05-29,2023-06-09,10.23
476,460,108,2023-10-31,2023-11-14,2023-11-11,0
477,692,77,2023-09-15,2023-09-29,2023-10-06,16.36
478,888,488,2023-09-24,2023-10-08,2023-10-17,16.32
479,912,306,2025-03-16,2025-03-30,2025-04-07,12.57
480,31,354,2023-07-17,2023-07-31,2023-08-09,17.22
